experiment,model_name,dataset,selected_threshold,val_f2,test_f2,val_pr_auc,test_pr_auc,val_roc_auc,test_roc_auc,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1,best_iteration,params_changed,notes
baseline_reference,Model A,with_covid,0.1,0.11096,0.101423,0.155815,0.098941,0.754054,0.722577,,,,0.022132,0.971845,0.043279,,"max_depth=4, learning_rate=0.05, n_estimators=1500, subsample=0.8, colsample_bytree=0.8",Frozen reference row from original with-COVID notebook
exp_7_lower_pos_weight_balanced_regularized,Lower class weight + balanced regularization,with_covid,0.3,0.2012684912586777,0.1689755022740976,0.15214737350715063,0.099264722160864,0.7503369922918959,0.7244243256608758,0.05546374198717949,0.587143803843605,0.10135328368623951,0.04303358325671333,0.6296809986130375,0.0805614458472704,712.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(26.62674568087041), 'max_depth': 5, 'learning_rate': 0.03, 'n_estimators': 3000, 'subsample': 0.75, 'colsample_bytree': 0.75, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50, 'min_child_weight': 8, 'gamma': 0.5, 'reg_alpha': 0.05, 'reg_lambda': 2.5}","Reduce scale_pos_weight by 20%, use depth=5, slower learning, more trees, and balanced regularization"
exp_7_lower_pos_weight_balanced_regularized,Lower class weight + balanced regularization,with_covid,0.3,0.2012684912586777,0.1689755022740976,0.15214737350715063,0.099264722160864,0.7503369922918959,0.7244243256608758,0.05546374198717949,0.587143803843605,0.10135328368623951,0.04303358325671333,0.6296809986130375,0.0805614458472704,712.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(26.62674568087041), 'max_depth': 5, 'learning_rate': 0.03, 'n_estimators': 3000, 'subsample': 0.75, 'colsample_bytree': 0.75, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50, 'min_child_weight': 8, 'gamma': 0.5, 'reg_alpha': 0.05, 'reg_lambda': 2.5}","Reduce scale_pos_weight by 20%, use depth=5, slower learning, more trees, and balanced regularization"
exp_1_threshold_tuning,Model A (threshold tuned),with_covid,0.3,0.17795874354054925,0.14671577302291375,0.15581541264545964,0.09894138619997675,0.7540539052279355,0.7225769033380374,0.04512846920112932,0.6736911862160371,0.08459048585859426,0.03517120740475469,0.7083217753120665,0.06701484115632422,584.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 4, 'learning_rate': 0.05, 'n_estimators': 1500, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50}",Same reference model; optimize threshold by validation F2
exp_1_threshold_tuning,Model A (threshold tuned),with_covid,0.3,0.17795874354054925,0.14671577302291375,0.15581541264545964,0.09894138619997675,0.7540539052279355,0.7225769033380374,0.04512846920112932,0.6736911862160371,0.08459048585859426,0.03517120740475469,0.7083217753120665,0.06701484115632422,584.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 4, 'learning_rate': 0.05, 'n_estimators': 1500, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50}",Same reference model; optimize threshold by validation F2
exp_2_higher_depth,Model A depth=6,with_covid,0.3,0.17776233696674917,0.14844066963399935,0.14185631907072133,0.09484993464903212,0.7440491165572323,0.7186564232913204,0.04548906299198015,0.6510271703114645,0.08503639841768591,0.035803955042375456,0.6952149791955617,0.06810068712064861,226.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 6, 'learning_rate': 0.05, 'n_estimators': 1500, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50, 'min_child_weight': 5}",Increase max_depth from 4 to 6 with min_child_weight=5 to capture more complex interactions
exp_2_higher_depth,Model A depth=6,with_covid,0.3,0.17776233696674917,0.14844066963399935,0.14185631907072133,0.09484993464903212,0.7440491165572323,0.7186564232913204,0.04548906299198015,0.6510271703114645,0.08503639841768591,0.035803955042375456,0.6952149791955617,0.06810068712064861,226.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 6, 'learning_rate': 0.05, 'n_estimators': 1500, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50, 'min_child_weight': 5}",Increase max_depth from 4 to 6 with min_child_weight=5 to capture more complex interactions
exp_5_combined_model,Combined tuned model,with_covid,0.3,0.17758614520342075,0.149585496678346,0.1491518903104509,0.09836832945654199,0.7500943517271986,0.724078773536014,0.04530144676190041,0.6577866136514248,0.08476515798462853,0.036081056463049155,0.7004854368932039,0.0686272178494631,675.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 5, 'learning_rate': 0.03, 'n_estimators': 2500, 'subsample': 0.75, 'colsample_bytree': 0.75, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50, 'min_child_weight': 8, 'gamma': 1, 'reg_alpha': 0.1, 'reg_lambda': 2.0}","Combine moderate depth, slower learning, stronger regularization, and lower sampling"
exp_5_combined_model,Combined tuned model,with_covid,0.3,0.17758614520342075,0.149585496678346,0.1491518903104509,0.09836832945654199,0.7500943517271986,0.724078773536014,0.04530144676190041,0.6577866136514248,0.08476515798462853,0.036081056463049155,0.7004854368932039,0.0686272178494631,675.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 5, 'learning_rate': 0.03, 'n_estimators': 2500, 'subsample': 0.75, 'colsample_bytree': 0.75, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50, 'min_child_weight': 8, 'gamma': 1, 'reg_alpha': 0.1, 'reg_lambda': 2.0}","Combine moderate depth, slower learning, stronger regularization, and lower sampling"
exp_3_regularization,Model A + regularization,with_covid,0.3,0.1774198061077459,0.14697635091412647,0.15476414390831938,0.09732485231770557,0.7511925980510676,0.7214232861408895,0.0449789867536751,0.672365805168986,0.08431742443759298,0.03524130345586131,0.7088072122052704,0.06714425076121124,606.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 4, 'learning_rate': 0.05, 'n_estimators': 1500, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50, 'gamma': 1, 'reg_alpha': 0.1, 'reg_lambda': 2.0}",Add gamma/L1/L2 regularization to reduce overfitting
exp_3_regularization,Model A + regularization,with_covid,0.3,0.1774198061077459,0.14697635091412647,0.15476414390831938,0.09732485231770557,0.7511925980510676,0.7214232861408895,0.0449789867536751,0.672365805168986,0.08431742443759298,0.03524130345586131,0.7088072122052704,0.06714425076121124,606.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 4, 'learning_rate': 0.05, 'n_estimators': 1500, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50, 'gamma': 1, 'reg_alpha': 0.1, 'reg_lambda': 2.0}",Add gamma/L1/L2 regularization to reduce overfitting
exp_4_lower_lr_more_trees,Model A slower learning,with_covid,0.3,0.1756949542237427,0.14619261426125604,0.1510427527084046,0.0947080344494884,0.7501222232220658,0.7233646084012544,0.044423821114010054,0.6724983432736912,0.08334223039839689,0.03495330523062743,0.7153259361997226,0.06664986689410975,848.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 4, 'learning_rate': 0.03, 'n_estimators': 2500, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50}",Lower learning rate to 0.03 and increase trees to 2500
exp_4_lower_lr_more_trees,Model A slower learning,with_covid,0.3,0.1756949542237427,0.14619261426125604,0.1510427527084046,0.0947080344494884,0.7501222232220658,0.7233646084012544,0.044423821114010054,0.6724983432736912,0.08334223039839689,0.03495330523062743,0.7153259361997226,0.06664986689410975,848.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 4, 'learning_rate': 0.03, 'n_estimators': 2500, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50}",Lower learning rate to 0.03 and increase trees to 2500
exp_6_higher_pos_weight_slower_learning,Higher class weight + slower learning,with_covid,0.3,0.16307560831416346,0.1336626557902543,0.15182364505321466,0.09083684313482146,0.7549988963036828,0.7213730094148304,0.03961297019074228,0.7385023194168323,0.07519263727514405,0.031011516581101708,0.7749653259361997,0.059636577100621715,1054.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(39.940118521305614), 'max_depth': 4, 'learning_rate': 0.02, 'n_estimators': 3000, 'subsample': 0.75, 'colsample_bytree': 0.75, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50, 'min_child_weight': 8}","Increase scale_pos_weight by 20%, lower learning rate to 0.02, increase trees to 3000"
exp_6_higher_pos_weight_slower_learning,Higher class weight + slower learning,with_covid,0.3,0.16307560831416346,0.1336626557902543,0.15182364505321466,0.09083684313482146,0.7549988963036828,0.7213730094148304,0.03961297019074228,0.7385023194168323,0.07519263727514405,0.031011516581101708,0.7749653259361997,0.059636577100621715,1054.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(39.940118521305614), 'max_depth': 4, 'learning_rate': 0.02, 'n_estimators': 3000, 'subsample': 0.75, 'colsample_bytree': 0.75, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50, 'min_child_weight': 8}","Increase scale_pos_weight by 20%, lower learning rate to 0.02, increase trees to 3000"
